experiment_id,leak_injected,threshold,duration,accuracy,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
cpu-chaos-68864_1777483535,True,50000,0.2778010368347168,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-42172_1777483736,True,50000,0.2398591041564941,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-97947_1777483935,True,50000,0.2353694438934326,0.9285714285714286,0.0,0.0,0.0,13,0,1,0,0.9285714285714286,1.0,0.9629629629629628,0.0,0.0,0.0
cpu-chaos-48281_1777484135,True,50000,0.28570556640625,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-91335_1777484335,True,50000,0.2323791980743408,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-2337_1777487555,True,50000,0.3184778690338135,0.9285714285714286,0.6666666666666666,1.0,0.8,11,1,0,2,1.0,0.9166666666666666,0.9565217391304348,0.6666666666666666,1.0,0.8
cpu-chaos-3174_1777487755,True,50000,0.2497096061706543,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-10071_1777487955,True,50000,0.2372486591339111,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
None_1777488154,False,50000,0.2269594669342041,1.0,0.0,0.0,0.0,14,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
cpu-chaos-46212_1777488354,True,50000,0.255162239074707,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-75568_1777488554,True,50000,0.2496154308319091,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-90608_1777489664,True,50000,0.3440611362457275,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-95025_1777489865,True,50000,0.3917462825775146,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-41590_1777490065,True,50000,0.3886234760284424,0.9285714285714286,1.0,0.5,0.6666666666666666,12,0,1,1,0.9230769230769232,1.0,0.96,1.0,0.5,0.6666666666666666
cpu-chaos-61522_1777490265,True,50000,0.3228769302368164,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-775_1777490465,True,50000,0.425034761428833,0.8571428571428571,0.0,0.0,0.0,12,0,2,0,0.8571428571428571,1.0,0.9230769230769232,0.0,0.0,0.0
cpu-chaos-93157_1777490666,True,50000,0.4348747730255127,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-18910_1777490866,True,50000,0.4997351169586181,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-84000_1777491067,True,50000,0.3176591396331787,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-64731_1777726648,True,50000,1.125969648361206,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-14979_1777726844,True,50000,0.7974920272827148,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
None_1777727040,False,50000,0.6464583873748779,1.0,0.0,0.0,0.0,14,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
cpu-chaos-63290_1777727236,True,50000,0.6936395168304443,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
None_1777727430,False,50000,0.7516798973083496,1.0,0.0,0.0,0.0,14,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
cpu-chaos-45313_1777727624,True,50000,0.6286931037902832,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-98884_1777727818,True,50000,0.9982891082763672,0.9285714285714286,0.0,0.0,0.0,13,0,1,0,0.9285714285714286,1.0,0.9629629629629628,0.0,0.0,0.0
cpu-chaos-69874_1777728012,True,50000,0.5542612075805664,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
None_1777728204,False,50000,0.8160014152526855,1.0,0.0,0.0,0.0,14,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
cpu-chaos-24840_1777728397,True,50000,0.6153280735015869,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-60734_1777728642,True,50000,0.7168104648590088,0.9285714285714286,1.0,0.5,0.6666666666666666,12,0,1,1,0.9230769230769232,1.0,0.96,1.0,0.5,0.6666666666666666
cpu-chaos-87711_1777728834,True,50000,0.7236127853393555,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-79441_1777729025,True,50000,0.8007545471191406,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-68224_1777729216,True,50000,0.5693709850311279,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-28108_1777729409,True,50000,0.3925588130950928,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-94530_1777729599,True,50000,0.2629060745239258,0.9285714285714286,0.0,0.0,0.0,13,0,1,0,0.9285714285714286,1.0,0.9629629629629628,0.0,0.0,0.0
None_1777729788,False,50000,0.3030602931976318,1.0,0.0,0.0,0.0,14,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
None_1777729978,False,50000,0.2676126956939697,1.0,0.0,0.0,0.0,14,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
cpu-chaos-81641_1777730168,True,50000,0.3289775848388672,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-75422_1777730357,True,50000,0.2665908336639404,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-58298_1777746372,True,50000,0.847463846206665,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-49023_1777746569,True,50000,0.5483317375183105,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-43311_1777746771,True,50000,0.5936787128448486,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-3923_1777746973,True,50000,0.6666262149810791,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-77508_1777747179,True,50000,0.8663716316223145,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-54585_1777747384,True,50000,0.7448577880859375,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-86510_1777747590,True,50000,0.5784900188446045,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
None_1777747796,False,50000,0.5560665130615234,1.0,0.0,0.0,0.0,14,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
None_1777748002,False,50000,0.9429004192352296,1.0,0.0,0.0,0.0,14,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
cpu-chaos-85653_1777748208,True,50000,0.7923789024353027,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-8914_1777748628,True,50000,0.6621577739715576,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
