experiment_id,leak_injected,threshold,duration,accuracy,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
cpu-chaos-98602_1784134824,True,0.0005,0.29645681381225586,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-18589_1784135015,True,0.0005,0.1679844856262207,0.9285714285714286,1.0,0.5,0.6666666666666666,12,0,1,1,0.9230769230769231,1.0,0.96,1.0,0.5,0.6666666666666666
cpu-chaos-63538_1784135260,True,0.0005,0.20935297012329102,0.9285714285714286,1.0,0.5,0.6666666666666666,12,0,1,1,0.9230769230769231,1.0,0.96,1.0,0.5,0.6666666666666666
cpu-chaos-15787_1784135639,True,0.0005,0.20492792129516602,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-54630_1784135773,True,0.0005,0.17869806289672852,0.9285714285714286,0.0,0.0,0.0,13,0,1,0,0.9285714285714286,1.0,0.9629629629629629,0.0,0.0,0.0
cpu-chaos-36379_1784136017,True,0.0005,0.2234508991241455,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-602_1784136209,True,0.0005,0.28323888778686523,0.9285714285714286,1.0,0.5,0.6666666666666666,12,0,1,1,0.9230769230769231,1.0,0.96,1.0,0.5,0.6666666666666666
cpu-chaos-26188_1784136398,True,0.0005,0.21023106575012207,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-55513_1784136532,True,0.0005,0.16994547843933105,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
None_1784137242,False,0.0005,0.1805562973022461,1.0,0.0,0.0,0.0,14,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
cpu-chaos-25351_1784137431,True,0.0005,0.17874503135681152,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-54143_1784137923,True,0.0005,0.21463513374328613,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-12131_1784138055,True,0.0005,0.15483331680297852,0.9285714285714286,0.0,0.0,0.0,13,0,1,0,0.9285714285714286,1.0,0.9629629629629629,0.0,0.0,0.0
cpu-chaos-97607_1784139361,True,0.0005,0.2407989501953125,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-95736_1784139740,True,0.0005,0.45273351669311523,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-23824_1784140118,True,0.0005,0.23384380340576172,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-78564_1784140307,True,0.0005,0.19761419296264648,0.9285714285714286,0.0,0.0,0.0,13,0,1,0,0.9285714285714286,1.0,0.9629629629629629,0.0,0.0,0.0
cpu-chaos-64007_1784140499,True,0.0005,0.18146753311157227,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-85705_1784140744,True,0.0005,0.20258378982543945,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
None_1784143657,False,0.0005,0.2605268955230713,1.0,0.0,0.0,0.0,14,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
cpu-chaos-52978_1784143898,True,0.0005,0.3388824462890625,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
cpu-chaos-58368_1784144030,True,0.0005,0.2814009189605713,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
