experiment_id,leak_injected,threshold,duration,accuracy,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
memory-chaos-12225_1777732598,True,50000,0.2329442501068115,0.9285714285714286,0.6666666666666666,1.0,0.8,11,1,0,2,1.0,0.9166666666666666,0.9565217391304348,0.6666666666666666,1.0,0.8
memory-chaos-1270_1777732788,True,50000,0.236530065536499,0.9285714285714286,1.0,0.5,0.6666666666666666,12,0,1,1,0.9230769230769232,1.0,0.96,1.0,0.5,0.6666666666666666
memory-chaos-95309_1777732979,True,50000,0.4127497673034668,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-74095_1777744303,True,50000,0.4851481914520263,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-26605_1777744495,True,50000,0.4388186931610107,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-27165_1777744685,True,50000,0.4990265369415283,0.9285714285714286,0.5,1.0,0.6666666666666666,12,1,0,1,1.0,0.9230769230769232,0.96,0.5,1.0,0.6666666666666666
memory-chaos-72093_1777744876,True,50000,0.3422629833221435,0.9285714285714286,0.5,1.0,0.6666666666666666,12,1,0,1,1.0,0.9230769230769232,0.96,0.5,1.0,0.6666666666666666
memory-chaos-76741_1777745067,True,50000,0.4719889163970947,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-79570_1777745258,True,50000,0.411372423171997,0.9285714285714286,0.0,0.0,0.0,13,0,1,0,0.9285714285714286,1.0,0.9629629629629628,0.0,0.0,0.0
memory-chaos-867_1777745452,True,50000,0.5522518157958984,0.8571428571428571,0.5,0.5,0.5,11,1,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.5,0.5,0.5
memory-chaos-13133_1777745642,True,50000,0.4430892467498779,0.9285714285714286,0.5,1.0,0.6666666666666666,12,1,0,1,1.0,0.9230769230769232,0.96,0.5,1.0,0.6666666666666666
memory-chaos-63087_1777745833,True,50000,0.3797206878662109,0.9285714285714286,0.6666666666666666,1.0,0.8,11,1,0,2,1.0,0.9166666666666666,0.9565217391304348,0.6666666666666666,1.0,0.8
None_1777746024,False,50000,0.4355158805847168,0.9285714285714286,0.0,0.0,0.0,13,1,0,0,1.0,0.9285714285714286,0.9629629629629628,0.0,0.0,0.0
memory-chaos-60317_1777749346,True,50000,0.7114226818084717,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
None_1777749552,False,50000,0.63913893699646,0.9285714285714286,0.0,0.0,0.0,13,1,0,0,1.0,0.9285714285714286,0.9629629629629628,0.0,0.0,0.0
memory-chaos-26140_1777749757,True,50000,0.2570083141326904,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
None_1777749963,False,50000,0.2903380393981933,0.9285714285714286,0.0,0.0,0.0,13,1,0,0,1.0,0.9285714285714286,0.9629629629629628,0.0,0.0,0.0
memory-chaos-88102_1777750168,True,50000,0.2090461254119873,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-32130_1777750374,True,50000,0.2305810451507568,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-98022_1777750579,True,50000,0.237255573272705,0.9285714285714286,0.6666666666666666,1.0,0.8,11,1,0,2,1.0,0.9166666666666666,0.9565217391304348,0.6666666666666666,1.0,0.8
memory-chaos-92069_1777751290,True,50000,0.241657018661499,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-71120_1777751496,True,50000,0.2262680530548095,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-6880_1777751702,True,50000,0.6299846172332764,0.9285714285714286,0.6666666666666666,1.0,0.8,11,1,0,2,1.0,0.9166666666666666,0.9565217391304348,0.6666666666666666,1.0,0.8
memory-chaos-79865_1777751908,True,50000,0.3101484775543213,0.9285714285714286,0.5,1.0,0.6666666666666666,12,1,0,1,1.0,0.9230769230769232,0.96,0.5,1.0,0.6666666666666666
memory-chaos-97543_1777752113,True,50000,0.2228190898895263,0.9285714285714286,0.5,1.0,0.6666666666666666,12,1,0,1,1.0,0.9230769230769232,0.96,0.5,1.0,0.6666666666666666
memory-chaos-67604_1777752319,True,50000,0.2648727893829345,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-12258_1777752524,True,50000,0.2122142314910888,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-67059_1777752730,True,50000,0.2128577232360839,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
None_1777752935,False,50000,0.2259621620178222,0.9285714285714286,0.0,0.0,0.0,13,1,0,0,1.0,0.9285714285714286,0.9629629629629628,0.0,0.0,0.0
memory-chaos-34681_1777753141,True,50000,0.2175359725952148,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-22941_1777753355,True,50000,0.2656445503234863,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-21841_1777753560,True,50000,0.2195563316345214,0.9285714285714286,1.0,0.5,0.6666666666666666,12,0,1,1,0.9230769230769232,1.0,0.96,1.0,0.5,0.6666666666666666
memory-chaos-46914_1777753766,True,50000,0.21925950050354,0.9285714285714286,1.0,0.5,0.6666666666666666,12,0,1,1,0.9230769230769232,1.0,0.96,1.0,0.5,0.6666666666666666
memory-chaos-40424_1777753972,True,50000,0.2232797145843505,0.9285714285714286,0.5,1.0,0.6666666666666666,12,1,0,1,1.0,0.9230769230769232,0.96,0.5,1.0,0.6666666666666666
memory-chaos-21020_1777754177,True,50000,0.2395884990692138,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
None_1777754383,False,50000,0.2279491424560547,1.0,0.0,0.0,0.0,14,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
memory-chaos-69581_1777754588,True,50000,0.2338588237762451,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-89598_1777754794,True,50000,0.2682595252990722,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-50854_1777755000,True,50000,0.3394432067871094,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-89358_1777755205,True,50000,0.3143246173858642,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-86960_1777766521,True,50000,0.4002728462219238,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-65900_1777766726,True,50000,0.3411064147949219,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-35839_1777766932,True,50000,0.348778486251831,0.8571428571428571,0.0,0.0,0.0,12,1,1,0,0.9230769230769232,0.9230769230769232,0.9230769230769232,0.0,0.0,0.0
memory-chaos-77960_1777767138,True,50000,0.2487034797668457,0.8571428571428571,0.5,0.5,0.5,11,1,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.5,0.5,0.5
None_1777767343,False,50000,0.3098366260528564,1.0,0.0,0.0,0.0,14,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
memory-chaos-74173_1777767549,True,50000,0.3821613788604736,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-55926_1777767755,True,50000,0.3758885860443115,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-55775_1777767961,True,50000,0.2648129463195801,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-39518_1777768167,True,50000,0.2702481746673584,0.9285714285714286,1.0,0.5,0.6666666666666666,12,0,1,1,0.9230769230769232,1.0,0.96,1.0,0.5,0.6666666666666666
memory-chaos-4880_1777768372,True,50000,0.3498709201812744,0.7857142857142857,0.0,0.0,0.0,11,1,2,0,0.8461538461538461,0.9166666666666666,0.88,0.0,0.0,0.0
