experiment_id,leak_injected,threshold,duration,accuracy,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
memory-chaos-68011_1784135394,True,50000,0.14970088005065918,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
None_1784137053,False,50000,0.20573830604553223,1.0,0.0,0.0,0.0,14,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
memory-chaos-33075_1784137676,True,50000,0.2170114517211914,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-94566_1784138300,True,50000,0.3298606872558594,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-87372_1784138491,True,50000,0.17536187171936035,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-57532_1784138680,True,50000,0.27842140197753906,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
None_1784138869,False,50000,0.19511055946350098,1.0,0.0,0.0,0.0,14,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
memory-chaos-57506_1784139495,True,50000,0.17033052444458008,0.9285714285714286,0.5,1.0,0.6666666666666666,12,1,0,1,1.0,0.9230769230769231,0.96,0.5,1.0,0.6666666666666666
None_1784139873,False,50000,0.14677047729492188,1.0,0.0,0.0,0.0,14,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
memory-chaos-28056_1784140988,True,50000,0.23793363571166992,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-93999_1784141122,True,50000,0.15627837181091309,0.9285714285714286,1.0,0.5,0.6666666666666666,12,0,1,1,0.9230769230769231,1.0,0.96,1.0,0.5,0.6666666666666666
memory-chaos-13078_1784141704,True,50000,0.13973546028137207,1.0,1.0,1.0,1.0,13,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
memory-chaos-46381_1784141946,True,50000,0.23908495903015137,0.9285714285714286,1.0,0.5,0.6666666666666666,12,0,1,1,0.9230769230769231,1.0,0.96,1.0,0.5,0.6666666666666666
None_1784142186,False,50000,0.18433380126953125,0.9285714285714286,0.0,0.0,0.0,13,1,0,0,1.0,0.9285714285714286,0.9629629629629629,0.0,0.0,0.0
memory-chaos-58122_1784142375,True,50000,0.14137887954711914,0.9285714285714286,1.0,0.5,0.6666666666666666,12,0,1,1,0.9230769230769231,1.0,0.96,1.0,0.5,0.6666666666666666
memory-chaos-16904_1784142507,True,50000,0.13571643829345703,0.9285714285714286,1.0,0.5,0.6666666666666666,12,0,1,1,0.9230769230769231,1.0,0.96,1.0,0.5,0.6666666666666666
memory-chaos-38550_1784142639,True,50000,0.13002276420593262,0.9285714285714286,1.0,0.5,0.6666666666666666,12,0,1,1,0.9230769230769231,1.0,0.96,1.0,0.5,0.6666666666666666
memory-chaos-76373_1784142880,True,50000,0.21861529350280762,0.8571428571428571,0.5,0.5,0.5,11,1,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.5,0.5,0.5
memory-chaos-7777_1784143012,True,50000,0.15239286422729492,0.9285714285714286,1.0,0.5,0.6666666666666666,12,0,1,1,0.9230769230769231,1.0,0.96,1.0,0.5,0.6666666666666666
None_1784143198,False,50000,0.15302658081054688,1.0,0.0,0.0,0.0,14,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
memory-chaos-63250_1784143329,True,50000,0.21091413497924805,1.0,1.0,1.0,1.0,12,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
